Date,Price,MarketCap,Addresses,Difficulty,TransFee,TweetsNum
15/12/2010,0.242,1180486.0,1085.0,12252.0,3.66e-05,
16/12/2010,0.244,1192818.0,949.0,12252.0,7.06e-05,
17/12/2010,0.245,1197451.0,796.0,12252.0,0.000194,
18/12/2010,0.245,1201197.0,858.0,12252.0,4.8200000000000006e-05,
19/12/2010,0.244,1199237.0,1088.0,12252.0,7.69e-05,
20/12/2010,0.254,1248252.0,1461.0,12252.0,2.2e-05,
21/12/2010,0.25,1232762.0,1089.0,12607.0,6.34e-05,
22/12/2010,0.247,1220279.0,1210.0,14484.0,8.73e-05,
23/12/2010,0.249,1232226.0,1018.0,14484.0,3.9899999999999994e-05,
24/12/2010,0.249,1234032.0,851.0,14484.0,5.0900000000000004e-05,
25/12/2010,0.249,1234385.0,1076.0,14484.0,3.6e-05,
26/12/2010,0.257,1279977.0,1028.0,14484.0,5.610000000000001e-05,
27/12/2010,0.258,1284582.0,1140.0,14484.0,5.489999999999999e-05,
28/12/2010,0.272,1356546.0,1030.0,14484.0,5.720000000000001e-05,
29/12/2010,0.28600000000000003,1426287.0,990.0,14484.0,0.00011100000000000001,
30/12/2010,0.29600000000000004,1478682.0,1091.0,14484.0,6.440000000000001e-05,
31/12/2010,0.3,1503735.0,898.0,14484.0,1.7800000000000002e-05,
01/01/2011,0.29600000000000004,1486083.0,1077.0,14484.0,5.520000000000001e-05,
02/01/2011,0.297,1495199.0,1051.0,14484.0,6.620000000000001e-05,
03/01/2011,0.293,1473717.0,1398.0,15910.0,0.00021899999999999998,
04/01/2011,0.297,1501129.0,1078.0,16307.0,1.11e-05,
05/01/2011,0.294,1488066.0,1540.0,16307.0,2.37e-05,
06/01/2011,0.299,1510679.0,1161.0,16307.0,4.48e-05,
07/01/2011,0.309,1564730.0,1254.0,16307.0,1.93e-05,
08/01/2011,0.316,1604317.0,1473.0,16307.0,4.41e-06,
09/01/2011,0.32299999999999995,1642113.0,1383.0,16307.0,4.270000000000001e-05,
10/01/2011,0.325,1653887.0,1437.0,16307.0,1.9399999999999997e-05,
11/01/2011,0.327,1665903.0,1552.0,16307.0,1.1400000000000001e-05,
12/01/2011,0.32299999999999995,1648580.0,1263.0,16307.0,9.42e-05,
13/01/2011,0.318,1628193.0,1696.0,16307.0,7.36e-06,
14/01/2011,0.359,1839657.0,1607.0,16307.0,2.1600000000000003e-05,
15/01/2011,0.39299999999999996,2018566.0,1422.0,17203.0,5.12e-05,
16/01/2011,0.39299999999999996,2022140.0,1536.0,18438.0,4.48e-05,
17/01/2011,0.368,1896996.0,1348.0,18438.0,8.97e-05,
18/01/2011,0.331,1709854.0,1416.0,18438.0,1.84e-05,
19/01/2011,0.313,1617830.0,1545.0,18438.0,2.09e-05,
20/01/2011,0.35100000000000003,1819830.0,1453.0,18438.0,5.59e-05,
21/01/2011,0.405,2100121.0,1969.0,18438.0,2.0600000000000003e-05,
22/01/2011,0.42700000000000005,2219215.0,2196.0,18438.0,0.00015900000000000002,
23/01/2011,0.44299999999999995,2307038.0,1932.0,18438.0,0.000175,
24/01/2011,0.431,2247218.0,2058.0,18438.0,8.77e-05,
25/01/2011,0.415,2166682.0,1445.0,18438.0,7.31e-05,
26/01/2011,0.414,2165552.0,1586.0,18438.0,5.520000000000001e-05,
27/01/2011,0.415,2175749.0,1653.0,20538.0,0.00036,
28/01/2011,0.434,2277703.0,1690.0,22012.0,2.8199999999999998e-05,
29/01/2011,0.442,2322378.0,2077.0,22012.0,0.000165,
30/01/2011,0.462,2433551.0,3198.0,22012.0,0.000536,
31/01/2011,0.5,2634576.0,2229.0,22012.0,0.00031099999999999997,
01/02/2011,0.626,3306594.0,1916.0,22012.0,0.000584,
02/02/2011,0.713,3769488.0,1490.0,22012.0,4.83e-05,
03/02/2011,0.706,3737529.0,1266.0,22012.0,0.00018899999999999999,
04/02/2011,0.7659999999999999,4059217.0,1509.0,22012.0,0.000124,
05/02/2011,0.88,4672256.0,1525.0,22012.0,0.000213,
06/02/2011,0.91,4841577.0,1393.0,22012.0,0.000151,
